Original Address,Best Match,Score
" rua coido   bajo, Unnamed: 0                      829
type_of_street                  NaN
addresses         rua coido 24 bajo
neighborhood                  muxia
province                   alicante
street_name        rua coido   bajo
house_number                     24
floor_number                    NaN
Name: 828, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
" maria auxiliadora    nd b, Unnamed: 0                              830
type_of_street                          NaN
addresses         maria auxiliadora 7 2nd b
neighborhood                        novelda
province                           alicante
street_name       maria auxiliadora    nd b
house_number                            7 2
floor_number                            2nd
Name: 829, dtype: object, Espana",Intercambiador de Plaza Castilla - Nivel -3 - Isla 2,86
" pradilla   bajo, Unnamed: 0                     831
type_of_street                 NaN
addresses         pradilla 41 bajo
neighborhood              alicante
province                  alicante
street_name        pradilla   bajo
house_number                    41
floor_number                   NaN
Name: 830, dtype: object, Espana",Camino Bajo de Noez o de Guadalupe por los Montes,86
" carrerets    nd, Unnamed: 0                     832
type_of_street                 NaN
addresses         carrerets 18 3nd
neighborhood                xixona
province                  alicante
street_name        carrerets    nd
house_number                  18 3
floor_number                   3nd
Name: 831, dtype: object, Espana",Intercambiador de Plaza Castilla - Nivel -1 - Isla 3,86
" mestre torroner    nd izquierda, Unnamed: 0                                    833
type_of_street                                NaN
addresses         mestre torroner 4 1nd izquierda
neighborhood                               xixona
province                                 alicante
street_name       mestre torroner    nd izquierda
house_number                                  4 1
floor_number                                  1nd
Name: 832, dtype: object, Espana",Cami de Can GA 1/4ell - PR-C 162 Ruta del Sol Blau - PR-C 163 Sender de Vallirana,86
" antonio machado    nd a, Unnamed: 0                            834
type_of_street                        NaN
addresses         antonio machado 2 1nd a
neighborhood                      novelda
province                         alicante
street_name       antonio machado    nd a
house_number                          2 1
floor_number                          1nd
Name: 833, dtype: object, Espana",Via de acceso subterranea a plataforma da estacion de tren Vigo-Urzaiz,86
" el vall, Unnamed: 0              835
type_of_street          NaN
addresses         el vall 3
neighborhood         xixona
province           alicante
street_name         el vall
house_number              3
floor_number            NaN
Name: 834, dtype: object, Espana","""Camino Alcalde Jose Garcia Sanchez """"El Nene""""""",86
" reyes catolicos, Unnamed: 0                         836
type_of_street                     NaN
addresses         reyes catolicos 69 4
neighborhood                   novelda
province                      alicante
street_name            reyes catolicos
house_number                      69 4
floor_number                       NaN
Name: 835, dtype: object, Espana",Calle Poeta y Periodista Raimundo de los Reyes,86
" oscar espla, Unnamed: 0                   837
type_of_street               NaN
addresses         oscar espla 55
neighborhood              romana
province                alicante
street_name          oscar espla
house_number                  55
floor_number                 NaN
Name: 836, dtype: object, Espana",Paseo Central de la Avenida de la Capital de Espana Madrid,86
" rey don jaime, Unnamed: 0                         838
type_of_street                     NaN
addresses         rey don jaime 18 3 9
neighborhood                   alberic
province                      valencia
street_name              rey don jaime
house_number                    18 3 9
floor_number                       NaN
Name: 837, dtype: object, Espana",Bacolod-Murcia-Don Salvador Benedicto-San Carlos Road,86
" rua eduardo pondal    nda, Unnamed: 0                               839
type_of_street                           NaN
addresses         rua eduardo pondal 21 2nda
neighborhood                           muxia
province                            alicante
street_name        rua eduardo pondal    nda
house_number                            21 2
floor_number                             2nd
Name: 838, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
" pasaje de cox    a, Unnamed: 0                        840
type_of_street                    NaN
addresses         pasaje de cox 10 5a
neighborhood                 alicante
province                     alicante
street_name        pasaje de cox    a
house_number                     10 5
floor_number                      NaN
Name: 839, dtype: object, Espana",Acceso al Aeropuerto Internacional de la Region de Murcia,86
" jose mateu alabau, Unnamed: 0                             841
type_of_street                         NaN
addresses         jose mateu alabau 3 3 11
neighborhood                       alberic
province                          valencia
street_name              jose mateu alabau
house_number                        3 3 11
floor_number                           NaN
Name: 840, dtype: object, Espana",Intercambiador de Plaza Castilla - Nivel -1 - Isla 3,86
"avenida constitucion   p   iz, Unnamed: 0                            842
type_of_street                    avenida
addresses         constitucion 64 p 02 iz
neighborhood                      novelda
province                         alicante
street_name         constitucion   p   iz
house_number                        64 02
floor_number                          NaN
Name: 841, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
" garcia lorca, Unnamed: 0                       843
type_of_street                   NaN
addresses         garcia lorca 2 1 1
neighborhood                 alberic
province                    valencia
street_name             garcia lorca
house_number                   2 1 1
floor_number                     NaN
Name: 842, dtype: object, Espana","""Camino Alcalde Jose Garcia Sanchez """"El Nene""""""",86
" alcoy    b, Unnamed: 0                844
type_of_street            NaN
addresses         alcoy 22 1b
neighborhood           xixona
province             alicante
street_name        alcoy    b
house_number             22 1
floor_number              NaN
Name: 843, dtype: object, Espana",Avenida Canada Real de TorreagA 1/4era,86
" terradets    ndc, Unnamed: 0                      845
type_of_street                  NaN
addresses         terradets 16 1ndc
neighborhood                 xixona
province                   alicante
street_name        terradets    ndc
house_number                   16 1
floor_number                    1nd
Name: 844, dtype: object, Espana",Rua do Alcalde Olegario Rodriguez Perez - Ramal 1,86
" l'artesa gelador     izqda, Unnamed: 0                               846
type_of_street                           NaN
addresses         l'artesa gelador 4 2 izqda
neighborhood                          xixona
province                            alicante
street_name       l'artesa gelador     izqda
house_number                             4 2
floor_number                             NaN
Name: 845, dtype: object, Espana",Paseo Central de la Avenida de la Capital de Espana Madrid,86
"avenida ribera alta  - -, Unnamed: 0                       847
type_of_street               avenida
addresses         ribera alta 33-1-5
neighborhood                 alberic
province                    valencia
street_name         ribera alta  - -
house_number                  33 1 5
floor_number                     NaN
Name: 846, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
"avenida elche    ndc izqda, Unnamed: 0                        848
type_of_street                avenida
addresses         elche 40 3ndc izqda
neighborhood                  novelda
province                     alicante
street_name        elche    ndc izqda
house_number                     40 3
floor_number                      3nd
Name: 847, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
" la font, Unnamed: 0               849
type_of_street           NaN
addresses         la font 19
neighborhood         novelda
province            alicante
street_name          la font
house_number              19
floor_number             NaN
Name: 848, dtype: object, Espana",Calle de la Cali Josefa Fernandez Romero,86
" teixugueiras   portal    ndizq, Unnamed: 0                                    850
type_of_street                                NaN
addresses         teixugueiras 14 portal 2 2ndizq
neighborhood                                 vigo
province                               pontevedra
street_name        teixugueiras   portal    ndizq
house_number                               14 2 2
floor_number                                  2nd
Name: 849, dtype: object, Espana",Via de acceso subterranea a plataforma da estacion de tren Vigo-Urzaiz,86
" joaquin costa, Unnamed: 0                     851
type_of_street                 NaN
addresses         joaquin costa 33
neighborhood               alberic
province                  valencia
street_name          joaquin costa
house_number                    33
floor_number                   NaN
Name: 850, dtype: object, Espana",Valencia to Dumaguete via Balugo MTB Trail,86
"avenida constitucion   bajo, Unnamed: 0                         852
type_of_street                 avenida
addresses         constitucion 62 bajo
neighborhood                   novelda
province                      alicante
street_name        constitucion   bajo
house_number                        62
floor_number                       NaN
Name: 851, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
"avenida libertad     d, Unnamed: 0                    853
type_of_street            avenida
addresses         libertad 31 2 d
neighborhood              novelda
province                 alicante
street_name        libertad     d
house_number                 31 2
floor_number                  NaN
Name: 852, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
"avenida constitucion   bajo, Unnamed: 0                         854
type_of_street                 avenida
addresses         constitucion 49 bajo
neighborhood                   novelda
province                      alicante
street_name        constitucion   bajo
house_number                        49
floor_number                       NaN
Name: 853, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
"avenida constitucion   bajo, Unnamed: 0                         855
type_of_street                 avenida
addresses         constitucion 90 bajo
neighborhood                   novelda
province                      alicante
street_name        constitucion   bajo
house_number                        90
floor_number                       NaN
Name: 854, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
" cervantes   esc b  nda, Unnamed: 0                            856
type_of_street                        NaN
addresses         cervantes 20 esc b 2nda
neighborhood                      novelda
province                         alicante
street_name        cervantes   esc b  nda
house_number                         20 2
floor_number                          2nd
Name: 855, dtype: object, Espana",Intercambiador de Plaza Castilla - Nivel -3 - Isla 2,86
"avenida constitutcion    nda, Unnamed: 0                          857
type_of_street                  avenida
addresses         constitutcion 40 1nda
neighborhood                    novelda
province                       alicante
street_name        constitutcion    nda
house_number                       40 1
floor_number                        1nd
Name: 856, dtype: object, Espana",Camino peonil entre Avenida da Florida e Rua Marinamansa,86
" marques de la romana   baja, Unnamed: 0                                858
type_of_street                            NaN
addresses         marques de la romana 1 baja
neighborhood                           romana
province                             alicante
street_name       marques de la romana   baja
house_number                                1
floor_number                              NaN
Name: 857, dtype: object, Espana",Acceso al Aeropuerto Internacional de la Region de Murcia,86
"calle lopez abente    nd izq, Unnamed: 0                            859
type_of_street                      calle
addresses         lopez abente 28 2nd izq
neighborhood                        muxia
province                         alicante
street_name        lopez abente    nd izq
house_number                         28 2
floor_number                          2nd
Name: 858, dtype: object, Espana",Intercambiador de Plaza Castilla - Nivel -3 - Isla 2,86
" rua real n, Unnamed: 0                860
type_of_street            NaN
addresses         rua real n4
neighborhood            muxia
province             alicante
street_name        rua real n
house_number                4
floor_number              NaN
Name: 859, dtype: object, Espana",Avenida Canada Real de TorreagA 1/4era,86
" teixugueiras   portal   piso  b, Unnamed: 0                                     861
type_of_street                                 NaN
addresses         teixugueiras 17 portal 3 piso 2b
neighborhood                                  vigo
province                                pontevedra
street_name        teixugueiras   portal   piso  b
house_number                                17 3 2
floor_number                                   NaN
Name: 860, dtype: object, Espana",Via de acceso subterranea a plataforma da estacion de tren Vigo-Urzaiz,86
" beneixida  - -, Unnamed: 0                     862
type_of_street                 NaN
addresses         beneixida 15-1-2
neighborhood               alberic
province                  valencia
street_name         beneixida  - -
house_number                15 1 2
floor_number                   NaN
Name: 861, dtype: object, Espana",Valencia to Dumaguete via Balugo MTB Trail,86
" mosen esteban    nd, Unnamed: 0                         863
type_of_street                     NaN
addresses         mosen esteban 14 1nd
neighborhood                   novelda
province                      alicante
street_name        mosen esteban    nd
house_number                      14 1
floor_number                       1nd
Name: 862, dtype: object, Espana",Rua do Alcalde Olegario Rodriguez Perez - Ramal 1,86
" san mateo    nd o, Unnamed: 0                       864
type_of_street                   NaN
addresses         san mateo 55 5nd o
neighborhood                alicante
province                    alicante
street_name        san mateo    nd o
house_number                    55 5
floor_number                     5nd
Name: 863, dtype: object, Espana",Bacolod-Murcia-Don Salvador Benedicto-San Carlos Road,86
" sequia real del xuquer  - -, Unnamed: 0                                 865
type_of_street                             NaN
addresses         sequia real del xuquer 7-4-8
neighborhood                           alberic
province                              valencia
street_name        sequia real del xuquer  - -
house_number                             7 4 8
floor_number                               NaN
Name: 864, dtype: object, Espana",Carretera de San Bartolome de las Abiertas a Espinoso del Rey,86
" travesia, Unnamed: 0                  866
type_of_street              NaN
addresses         travesia 33 1
neighborhood            novelda
province               alicante
street_name            travesia
house_number               33 1
floor_number                NaN
Name: 865, dtype: object, Espana",Avenida Canada Real de TorreagA 1/4era,86
" san pedro    nd, Unnamed: 0                     867
type_of_street                 NaN
addresses         san pedro 50 2nd
neighborhood               novelda
province                  alicante
street_name        san pedro    nd
house_number                  50 2
floor_number                   2nd
Name: 866, dtype: object, Espana",Bacolod-Murcia-Don Salvador Benedicto-San Carlos Road,86
" trasmuro, Unnamed: 0                868
type_of_street            NaN
addresses         trasmuro 21
neighborhood          alberic
province             valencia
street_name          trasmuro
house_number               21
floor_number              NaN
Name: 867, dtype: object, Espana",Valencia to Dumaguete via Balugo MTB Trail,86
" alicante    nd izda, Unnamed: 0                         869
type_of_street                     NaN
addresses         alicante 13 2nd izda
neighborhood                    xixona
province                      alicante
street_name        alicante    nd izda
house_number                      13 2
floor_number                       2nd
Name: 868, dtype: object, Espana",Intercambiador de Plaza Castilla - Nivel -3 - Isla 2,86
"calle conde de lemos nand, Region de Murcia, Espana",Calle C,90
"calle reposo, Region de Murcia, Espana",Calle,90
"calle peral, Region de Murcia, Espana",Calle,90
"calle andres invernon, Region de Murcia, Espana",Calle A,90
" castillo de mar, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle costamanga  decha, Unnamed: 0                           878
type_of_street                     calle
addresses            costamanga 143decha
neighborhood      la manga del mar menor
province                          toledo
street_name            costamanga  decha
house_number                         143
floor_number                         NaN
Name: 877, dtype: object, Espana",Via Verde del Noroeste (Antigua via Murcia-Caravaca),86
"calle pintor miguel angel    alto izq (los alcazares), Region de Murcia, Espana",Calle Pinto,90
" isla cunillera mares  bajo b, Region de Murcia, Espana",Circunvalacion de Murcia,86
" carretera molinos marfagones   bcartagena, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle madreperla, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle pedro, Region de Murcia, Espana",Calle,90
" alfonso xiii, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle luis de gongora, Region de Murcia, Espana",Calle Luis de Gongora,90
" paseo siena, Region de Murcia, Espana",Siena,90
" edif.hawai, Region de Murcia, Espana",Circunvalacion de Murcia,86
" comunidadaldeas de taray club, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle torno, Region de Murcia, Espana",Calle,90
" urbanizacion lo santiago, Region de Murcia, Espana",Circunvalacion de Murcia,86
" lugar fuente amarga, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle chinchorro a, Region de Murcia, Espana",Calle C,90
"calle francisco hernandez, Region de Murcia, Espana",Calle Francisco Hernandez,90
"calle escultor sanchez lozano, Region de Murcia, Espana",Calle E,90
"calle lozoya, Region de Murcia, Espana",Calle,90
" paraje el casis, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle conde de lemos, Region de Murcia, Espana",Calle C,90
" botalon, Region de Murcia, Espana",Ronda de Levante,86
" plazareyes catolicos, Region de Murcia, Espana",Reyes Catolicos,90
"calle los reyes ( zona los carriones), Region de Murcia, Espana",Calle Los Reyes,90
" planchadora, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle remolinos, Region de Murcia, Espana",Calle Remolino,90
" pedrarias davila, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle los ingleses, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle cuatro vientos   pbj, Region de Murcia, Espana",Calle Cuatro Vientos,90
" san felix, Region de Murcia, Espana",Ronda de Levante,86
"calle abanico, Region de Murcia, Espana",Calle A,90
"calle isla aldabra s/n, Region de Murcia, Espana",Calle I,90
" manuel boadilla, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle de la iglesia, Region de Murcia, Espana",Calle de la Iglesia,90
"calle francisco roca martinez, Region de Murcia, Espana",Calle F,90
" carreteramazarron, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle finca el pino s/ns/n, Region de Murcia, Espana",Calle F,90
" apartamentoaldeas de taray, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle caballete, Region de Murcia, Espana",Calle C,90
"calle urbanizacion superaticos playaavenida la manga ndg, Region de Murcia, Espana",Circunvalacion de Murcia,86
" carreteraa la aljorrasnbajo ndg, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida calle afrodita, Region de Murcia, Espana",Calle Afrodita,90
"calle camino romano a, Region de Murcia, Espana",Camino Romano,90
" p.i. la palmaoliva nnd   nave, Region de Murcia, Espana",La Palma,90
" lloret ribera beach fase, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle comunidad mares  isla cunillera, Region de Murcia, Espana",Calle Comunidad,90
"calle juan lopez nnd, Region de Murcia, Espana",Calle J,90
"calle malgrat de mar, Region de Murcia, Espana",Calle Malgrat de Mar,90
" urbanizacion las fincas nnd, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle bajopuerto bello jab, Region de Murcia, Espana",Calle B,90
" costa manga   esc, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle hernan cortes, Region de Murcia, Espana",Calle Hernan Cortes,90
"calle sucre, Region de Murcia, Espana",Sucre,90
"calle verdemar, Region de Murcia, Espana",Calle,90
"calle sierra tigre, Region de Murcia, Espana",Calle Sierra,90
"calle mondrian, Region de Murcia, Espana",Calle,90
"calle dios dragon s/n, Region de Murcia, Espana",Calle D,90
"calle finca lo parrenos/npbj, Region de Murcia, Espana",Calle F,90
"calle hermanos quintero, Region de Murcia, Espana",Calle Hermanos Quintero,90
"calle san juan  a, Region de Murcia, Espana",Calle San Juan,90
"calle albatros  orozco  bajo c, Region de Murcia, Espana",Calle Alba,90
" san pedro pescador, Region de Murcia, Espana",San Pedro,90
"calle bajoalfonso xiii, Region de Murcia, Espana",Calle B,90
"calle de la muneca, Region de Murcia, Espana",Calle D,90
"calle ala  edificio torremares b, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle manga azul ndd, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle bartolome ferro bajo, Region de Murcia, Espana",Calle B,90
"calle san isidoro  bajo, Region de Murcia, Espana",Calle San Isidoro,90
"avenida calle nerea, Region de Murcia, Espana",Avenida C,90
"calle san lucas, Region de Murcia, Espana",Calle San Lucas,90
"calle rolde, Region de Murcia, Espana",Calle,90
"calle los ruices, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle martin pescador  bajo, Region de Murcia, Espana",Calle Martin,90
"calle plaza alfonso, Region de Murcia, Espana",Calle Plaza,90
"calle ugralcacil a, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle ugralcacil bajoa, Region de Murcia, Espana",Circunvalacion de Murcia,86
" cangel ferrant, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle pizarra  bajo, Region de Murcia, Espana",Calle Pizarra,90
"calle ronda norte, Region de Murcia, Espana",Ronda Norte,90
"calle guadalajara, Region de Murcia, Espana",Calle Guadalajara,90
"calle gongora    bloq   atico, Region de Murcia, Espana",Calle Gongora,90
"calle pintor dalmau d, Region de Murcia, Espana",Calle Pinto,90
"calle del abrazo  bajo e, Region de Murcia, Espana",Calle D,90
"calle himilcon, Region de Murcia, Espana",Calle,90
"calle austin querol, Region de Murcia, Espana",Calle A,90
"calle aldeas de tarayapt, Region de Murcia, Espana",Calle A,90
"avenida puertomar  avenida. gran via de la manga km  ., Region de Murcia, Espana",Circunvalacion de Murcia,86
" manga beach, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pasajelos rangos, Region de Murcia, Espana",pasaje,90
"avenida espanola b, Region de Murcia, Espana",Avenida E,90
" veneciola golf, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciplaya blanca, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle otono, Region de Murcia, Espana",Calle,90
"calle dios baal bajoa, Region de Murcia, Espana",Calle D,90
"calle horno, Region de Murcia, Espana",Calle Horno,90
"calle ugrpasajes bajo a, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida jeronimo, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciapartamento  aldeas de taray, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida calle el divino calle isla de tabarca, Region de Murcia, Espana",Calle Isla de Tabarca,90
"calle urbanizacion albatros, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacifase  dos mares sur e, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle zambra  gran via km  apto, Region de Murcia, Espana",Gran Via,90
"calle merida  u, Region de Murcia, Espana",Calle Merida,90
" vina del mar, Region de Murcia, Espana",Del Mar,90
" luque, Region de Murcia, Espana",Ronda de Levante,86
"calle aguador, Region de Murcia, Espana",Calle A,90
"calle marina, Region de Murcia, Espana",Calle Marin,90
" urbanizacipunta cormoran, Region de Murcia, Espana",Circunvalacion de Murcia,86
" zurbano, Region de Murcia, Espana",Ronda de Levante,86
"calle glaciar, Region de Murcia, Espana",Calle,90
" parajelos garcias, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle oropesa, Region de Murcia, Espana",Calle,90
"calle verdemar  julieta orbaiceta m, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacialdeas, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle alfonso vargas a, Region de Murcia, Espana",Calle Alfonso,90
"calle cuatro vientos  abajo, Region de Murcia, Espana",Calle Cuatro Vientos,90
" casers/nlos perez, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle san bruno, Region de Murcia, Espana",Calle S,90
" plazade los caidos, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida calle neptuno, Region de Murcia, Espana",Calle Neptuno,90
" casacasas molinos los pesetos, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida calle penelope, Region de Murcia, Espana",Avenida C,90
"calle de la cruz, Region de Murcia, Espana",Calle de la Cruz,90
"calle valdesillas, Region de Murcia, Espana",Calle Val,90
"calle dios baal bajo, Region de Murcia, Espana",Calle D,90
"calle moral, Region de Murcia, Espana",Calle,90
"calle virgen del pino, Region de Murcia, Espana",Calle Virgen,90
" pluton, Region de Murcia, Espana",Pluton,90
"calle gema, Region de Murcia, Espana",Calle,90
"calle rodrigo caro   ., Region de Murcia, Espana",Calle Rodrigo,90
"calle residencial los flamencosbomilcar, Region de Murcia, Espana",Calle Residencia,90
"calle cerca de las  francisco salzillo  ndd, Region de Murcia, Espana",Calle Cerca,90
" gran via de la manga km  urbanizacion aldeas de taray club, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle alfonso paso, Region de Murcia, Espana",Calle Alfonso,90
"calle san joaquin, Region de Murcia, Espana",Calle San Joaquin,90
" los flamencos k, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle antiguo jardin botanicofinca el jardinsn, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion albatros  orozco bajod, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion mangasur, Region de Murcia, Espana",Circunvalacion de Murcia,86
" piragua  bajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
" taray clubgran via de la manga, Region de Murcia, Espana",Gran Via,90
" urbanizacivina del mar fase  ndb, Region de Murcia, Espana",Vina del Mar,90
"calle urbanizacion loma de canterasloma cristales, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle archipielago  izq., Region de Murcia, Espana",Calle A,90
"calle loma canteras, Region de Murcia, Espana",Loma Cante,90
" urbanizacineptuno dcha, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida horizontegran via de la manga, Region de Murcia, Espana",Gran Via,90
"calle las matildesprimavera, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pintor balaca, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion torre riviera ndc, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacitaray, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle torre sururbanizacion castillo de mar   fase  nda, Region de Murcia, Espana",Calle Torre,90
"calle la torre, Region de Murcia, Espana",Calle,90
" plazade la solera, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciescalera  - planta baja - mlos flamencos, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle azoteas ndb, Region de Murcia, Espana",Calle A,90
"calle villa cristaldios baal, Region de Murcia, Espana",Calle Villa,90
"calle villa cristaldios baal bajo, Region de Murcia, Espana",Calle Villa,90
"calle san juan de nepomuceno, Region de Murcia, Espana",Calle San Juan,90
"calle wamba, Region de Murcia, Espana",Calle,90
" los sanchez de pozo estrecho, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion corvera golfla pena m, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle nuestra senora del rosario, Region de Murcia, Espana",Calle Nuestra Senora del Rosario,90
" campo de golf corveracalle ronda de golfn laurel a, Region de Murcia, Espana",Calle Ronda,90
"calle faro de navidad, Region de Murcia, Espana",Calle F,90
"calle luis vives, Region de Murcia, Espana",Calle Luis Vives,90
" plazaalfonso xiii, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion el diviinoisla tamara  bajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle villa ana, Region de Murcia, Espana",Calle Villa,90
"calle santa rosa, Region de Murcia, Espana",Calle Santa Rosa,90
" carretera.albujon-cabo palos, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle cava alta, Region de Murcia, Espana",Calle Cava Alta,90
"calle urbanizacion los flamencosbomilcar ndi, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pintor vitorio nicolas, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pi de la palma(cartagena)calle calabacin, Region de Murcia, Espana",Calle Cala,90
"calle dato, Region de Murcia, Espana",Calle,90
"calle trinidad martinez, Region de Murcia, Espana",Calle Trinidad,90
"calle ugralcacil bajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle mandolina d, Region de Murcia, Espana",Calle Mandolina,90
"calle fernando poo, Region de Murcia, Espana",Calle Fernando Poo,90
" plaza alfonso vargas, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle rembrandt, Region de Murcia, Espana",Calle Rembrandt,90
"calle nogal, Region de Murcia, Espana",Calle nogal,90
"calle sururbanizacion monte blanco nd, Region de Murcia, Espana",Calle Sur,90
"avenida avenidamarfagones, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle san miguel, Region de Murcia, Espana",Calle San Miguel,90
"avenida de taray apartamento  gran via de la manga, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacipuertomar  a, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle collado de los jeronimos bajo c, Region de Murcia, Espana",Calle Collado,90
"calle corvera golfronda de golf m, Region de Murcia, Espana",Calle Corvera,90
"calle ugralcacil nda, Region de Murcia, Espana",Circunvalacion de Murcia,86
" comunidadlos flamencos a, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle jilguero a, Region de Murcia, Espana",Jilguero,90
"calle urbanizacion punta cormoran, Region de Murcia, Espana",Circunvalacion de Murcia,86
"avenida canales de veneziolagran via de la manga km portal a ndc, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle lugar los ortegas, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle urbanizacion la gola, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle edificio mar mayorgran via de la manga b, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacibloque   esc   bajo bresidencial jardines del mar, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle miguel de unamuno, Region de Murcia, Espana",Calle Miguel de Unamuno,90
"calle relampago, Region de Murcia, Espana",Calle Relampago,90
" urbanizacivillas de frente marino, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciribera beach  nd, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacitesis, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle bajo, Region de Murcia, Espana",Calle B,90
" urbanizacion nuevo horizonte, Region de Murcia, Espana",Circunvalacion de Murcia,86
" carreterakm, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle tres carabelas, Region de Murcia, Espana",Calle Tres Carabelas,90
"calle urogallo, Region de Murcia, Espana",Calle,90
"calle tercera avenida, Region de Murcia, Espana",Calle Tercera,90
"calle united golf resortsierra de los villares, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciedif doradoborinquen  t, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pasajes nda, Region de Murcia, Espana",pasaje,90
" pasajeel porche, Region de Murcia, Espana",pasaje,90
"calle dos mares surbajo c, Region de Murcia, Espana",Calle D,90
" plazannd  alfonso xiii, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle united golf resortsalcacil b, Region de Murcia, Espana",Circunvalacion de Murcia,86
" pintor goya, Region de Murcia, Espana",Circunvalacion de Murcia,86
" es edificio, Region de Murcia, Espana",Circunvalacion de Murcia,86
