Unnamed: 0,type_of_street,addresses,neighborhood,province,street_number,floor,street_name,floor_number,street_name2,prov,full,FORMATED_ADDRESS,TYPE_STREET,STREET_NAME,STREET_NUMBER,LOCALITY,PROVINCE,REGION,COUNTRY,POSTAL_CODE,NEIGHBOURHOOD,LAT,LONG,OBSERVATIONS
836,,reyes catolicos  69   4,novelda,alicante,69,4,reyes catolicos,,reyes catolicos,alicante," reyes catolicos, 69, alicante, España","Avinguda dels Reis Catòlics, 69, Novelda, Alicante, España",,Avinguda dels Reis Catòlics,69,Novelda,Alicante,Comunidad Valenciana,Spain,03660,,38.3812697,-0.7703099,4
837,,oscar espla  55,romana,alicante,55,,oscar espla,,oscar espla,alicante," oscar espla, 55, alicante, España","Carrer Oscar Esplá, 55, Elche, Alicante, España",,Carrer Oscar Esplá,55,Elx,Alicante,Comunidad Valenciana,Spain,03201,,38.2687766,-0.7057177,
838,,rey don jaime  18   3   9,alberic,valencia,18,3 9,rey don jaime,,rey don jaime,valencia," rey don jaime, 18, valencia, España","Avinguda Rei En Jaume, 18, Castellón de la Plana, València, España",,Avinguda Rei En Jaume,18,Castelló de la Plana,Castelló,Comunidad Valenciana,Spain,12001,,39.9854436,-0.0403506,3 9
839,,rua eduardo pondal  21   2 nda,muxia,alicante,21,2 nda,rua eduardo pondal        nda,2 nd,rua eduardo pondal,alicante," rua eduardo pondal, 21, alicante, España","Rúa Eduardo Pondal, 21, Muxía, España",,Rúa Eduardo Pondal,21,Muxía,A Coruña,Galicia,Spain,15125,,43.1042602,-9.2172669,2 nda
840,,pasaje de cox  10   5 a,alicante,alicante,10,5 a,pasaje de cox        a,,pasaje de cox,alicante," pasaje de cox, 10, alicante, España","Pasaje de Cox, 10, Alicante, España",,Pasaje de Cox,10,Alicante (Alacant),Alicante,Comunidad Valenciana,Spain,03012,,38.3616434,-0.4783173,5 a
841,,jose mateu alabau  3   3   11,alberic,valencia,3,3 11,jose mateu alabau,,jose mateu alabau,valencia," jose mateu alabau, 3, valencia, España","Calle José Mateu Alabau, 3, Alberic, Valencia, España",Calle,José Mateu Alabau,3,Alberique,Valencia,Comunidad Valenciana,Spain,46260,,39.1185339,-0.5248864,3 11
842,avenida,constitucion  64  p  02  iz,novelda,alicante,64,p 02  iz,constitucion     p     iz,,constitucion,alicante,"avenida constitucion, 64, alicante, España","Avenida de la Constitución, 64, Novelda, Alicante, España",Avenida,de la Constitución,64,Novelda,Alicante,Comunidad Valenciana,Spain,03660,,38.3827973,-0.7619905,p 02  iz
843,,garcia lorca  2   1   1,alberic,valencia,2,1 1,garcia lorca,,garcia lorca,valencia," garcia lorca, 2, valencia, España","Carrer García Lorca, 2, Manises, Valencia, España",,Carrer García Lorca,2,Manises,Valencia,Comunidad Valenciana,Spain,46940,,39.4912913,-0.4590374,1 1
844,,alcoy  22   1 b,xixona,alicante,22,1 b,alcoy        b,,alcoy,alicante," alcoy, 22, alicante, España","Avinguda Alcoi, 22, Alicante, España",,Avinguda Alcoi,22,Alacant,Alicante,Comunidad Valenciana,Spain,03010,,38.3565315,-0.4884895,1 b
845,,terradets  16   1 ndc,xixona,alicante,16,1 ndc,terradets        ndc,1 nd,terradets,alicante," terradets, 16, alicante, España","Carrer dels Terradets, 16, Jijona, Alicante, España",,Carrer dels Terradets,16,Xixona,Alicante,Comunidad Valenciana,Spain,03100,,38.538733,-0.5067505,1 ndc
846,,lÂ´artesa gelador  4   2  izqda,xixona,alicante,4,2 izqda,lÂ´artesa gelador         izqda,,lÂ´artesa gelador,alicante," lÂ´artesa gelador, 4, alicante, España","Carrer de l'Artesà Gelador, 4, Jijona, Spain",,Carrer de l'Artesà Gelador,4,Xixona,Alicante,Comunidad Valenciana,Spain,03100,,38.53257620000001,-0.5060545,2 izqda
847,avenida,ribera alta  33 - 1 - 5,alberic,valencia,33,- 1 - 5,ribera alta    -   -,,ribera alta,valencia,"avenida ribera alta, 33, valencia, España","Avenida Ribera Alta, 33, Tous, Valencia, España",Avenida,Ribera Alta,33,Tous,Valencia,Comunidad Valenciana,Spain,46269,,39.1359553,-0.5838843,- 1 - 5
848,avenida,elche  40   3 ndc izqda,novelda,alicante,40,3 ndc izqda,elche        ndc izqda,3 nd,elche,alicante,"avenida elche, 40, alicante, España","Avenida Elche, 40, Novelda, Alicante, España",Avenida,Elche,40,Novelda,Alicante,Comunidad Valenciana,Spain,03660,,38.3812824,-0.7684930999999999,3 ndc izqda
849,,la font  19,novelda,alicante,19,,la font,,la font,alicante," la font, 19, alicante, España","Carrer la Font, 19, Benialí, Alicante, España",,Carrer la Font,19,Benialí,Alicante,Comunidad Valenciana,Spain,03787,,38.8214073,-0.2221214,
850,,teixugueiras  14  portal  2   2 ndizq,vigo,pontevedra,14,portal 2   2 ndizq,teixugueiras     portal        ndizq,2 nd,teixugueiras,pontevedra," teixugueiras, 14, pontevedra, España","Rúa das Teixugueiras, 14, Vigo, Pontevedra, España",,Rúa das Teixugueiras,14,Vigo,Pontevedra,Galicia,Spain,36212,,42.213072,-8.755736599999999,portal 2   2 ndizq
851,,joaquin costa  33,alberic,valencia,33,,joaquin costa,,joaquin costa,valencia," joaquin costa, 33, valencia, España","Carrer de Joaquín Costa, 33, València, España",,Carrer de Joaquín Costa,33,València,Valencia,Comunidad Valenciana,Spain,46005,,39.4654462,-0.3664133,
852,avenida,constitucion  62  bajo,novelda,alicante,62,bajo,constitucion     bajo,,constitucion,alicante,"avenida constitucion, 62, alicante, España","Avenida Constitución, 62, Villena, Alicante, España",Avenida,Constitución,62,Villena,Alicante,Comunidad Valenciana,Spain,03400,,38.634886,-0.8653247,bajo
853,avenida,libertad  31   2  d,novelda,alicante,31,2 d,libertad         d,,libertad,alicante,"avenida libertad, 31, alicante, España","Avenida Libertad, 31, Bigastro, Alicante, España",Avenida,Libertad,31,Bigastro,Alicante,Comunidad Valenciana,Spain,03380,,38.0623107,-0.8927495,2 d
854,avenida,constitucion  49  bajo,novelda,alicante,49,bajo,constitucion     bajo,,constitucion,alicante,"avenida constitucion, 49, alicante, España","Avenida de la Constitución, 49, Novelda, Alicante, España",Avenida,de la Constitución,49,Novelda,Alicante,Comunidad Valenciana,Spain,03660,,38.3830522,-0.7627726,bajo
855,avenida,constitucion  90  bajo,novelda,alicante,90,bajo,constitucion     bajo,,constitucion,alicante,"avenida constitucion, 90, alicante, España","Avenida de la Constitución, 90, Novelda, Alicante, España",Avenida,de la Constitución,90,Novelda,Alicante,Comunidad Valenciana,Spain,03660,,38.3835427,-0.7591112,bajo
856,,cervantes  20  esc b  2 nda,novelda,alicante,20,esc b  2 nda,cervantes     esc b    nda,2 nd,cervantes,alicante," cervantes, 20, alicante, España","Explanada Cervantes, 20, Dénia, Alicante, España",,Esplanada Cervantes,20,Denia,Alicante,Comunidad Valenciana,Spain,03700,,38.8419674,0.1121433,esc b  2 nda
857,avenida,constitutcion  40   1 nda,novelda,alicante,40,1 nda,constitutcion        nda,1 nd,constitutcion,alicante,"avenida constitutcion, 40, alicante, España","Avenida de la Constitución, 40, Novelda, Alicante, España",Avenida,de la Constitución,40,Novelda,Alicante,Comunidad Valenciana,Spain,03660,,38.3822777,-0.7639393999999999,1 nda
858,,marques de la romana  1  baja,romana,alicante,1,baja,marques de la romana     baja,,marques de la romana,alicante," marques de la romana, 1, alicante, España","Calle Marqués de la Romana, 1, La Romana, Alicante, España",Calle,Marqués de la Romana,1,La Romana,Alicante,Comunidad Valenciana,Spain,03669,,38.3684405,-0.8969937,baja
859,calle,lopez abente  28   2 nd izq,muxia,alicante,28,2izq,lopez abente        nd izq,2 nd,lopez abente,alicante,"calle lopez abente, 28, alicante, España","Calle Ruy López, 28, Málaga, España",Calle,Ruy López,28,Málaga,Málaga,Andalucía,Spain,29010,,36.7233108,-4.4549579,2izq
860,,rua real n 4,muxia,alicante,4,,rua real n,,rua real n,alicante," rua real n, 4, alicante, España","Rúa Real, 4, Vigo, España",,Rúa Real,4,Vigo,Pontevedra,Galicia,Spain,36202,,42.2392172,-8.7266733,
861,,teixugueiras  17  portal  3  piso  2 b,vigo,pontevedra,17,portal 3  piso  2 b,teixugueiras     portal     piso    b,,teixugueiras,pontevedra," teixugueiras, 17, pontevedra, España","Rúa das Teixugueiras, 17, Vigo, Pontevedra, España",,Rúa das Teixugueiras,17,Vigo,Pontevedra,Galicia,Spain,36212,,42.209708,-8.7547464,portal 3  piso  2 b
862,,beneixida  15 - 1 - 2,alberic,valencia,15,- 1 - 2,beneixida    -   -,,beneixida,valencia," beneixida, 15, valencia, España","Carrer Beneixida, 15, Alberic, Valencia, España",,Carrer Beneixida,15,Alberic,Valencia,Comunidad Valenciana,Spain,46260,,39.1159641,-0.5233605,- 1 - 2
863,,mosen esteban  14   1 nd,novelda,alicante,14,1,mosen esteban        nd,1 nd,mosen esteban,alicante," mosen esteban, 14, alicante, España","Calle Mosén Pedro Mena, Alicante, Spain",Calle,Mosén Pedro Mena,14,Alicante (Alacant),Alicante,Comunidad Valenciana,Spain,,,38.3654916,-0.5078764,1
864,,san mateo  55   5 nd o,alicante,alicante,55,5o,san mateo        nd o,5 nd,san mateo,alicante," san mateo, 55, alicante, España","Carrer de Sant Mateu, 55, Alicante, España",,Carrer de Sant Mateu,55,Alacant,Alicante,Comunidad Valenciana,Spain,03012,,38.3599068,-0.4773014,5o
865,,sequia real del xuquer  7 - 4 - 8,alberic,valencia,7,- 4 - 8,sequia real del xuquer    -   -,,sequia real del xuquer,valencia," sequia real del xuquer, 7, valencia, España","Carrer Sèquia Real del Xúquer, 7, Alberic, Valencia, España",,Carrer Sèquia Reial del Xúquer,7,Alberic,Valencia,Comunidad Valenciana,Spain,46260,,39.1155605,-0.5200904,- 4 - 8
866,,travesia  33   1,novelda,alicante,33,1,travesia,,travesia,alicante," travesia, 33, alicante, España","Calle Travesia, 33, Elda, Alicante, España",Calle,Travesia,33,Elda,Alicante,Comunidad Valenciana,Spain,03600,,38.4766187,-0.7949674,1
867,,san pedro  50   2 nd,novelda,alicante,50,2,san pedro        nd,2 nd,san pedro,alicante," san pedro, 50, alicante, España","Carrer Sant Pere, 50, Novelda, Alicante, España",,Carrer Sant Pere,50,Novelda,Alicante,Comunidad Valenciana,Spain,03660,,38.3842309,-0.7644358000000001,2
868,,trasmuro  21,alberic,valencia,21,,trasmuro,,trasmuro,valencia," trasmuro, 21, valencia, España","Calle Trasmuro, 21, Alberic, Valencia, España",Calle,Trasmuro,21,Alberique,Valencia,Comunidad Valenciana,Spain,46260,,39.1135275,-0.5186235,
869,,alicante  13   2 nd izda,xixona,alicante,13,2izda,alicante        nd izda,2 nd,alicante,alicante," alicante, 13, alicante, España","Carrer Alicante, 13, Sant Vicent del Raspeig, Alicante, España",,Carrer Alicante,13,Sant Vicent del Raspeig,Alicante,Comunidad Valenciana,Spain,03690,,38.3945762,-0.5198454,2izda
870,calle,conde de lemos nÃ¢nd 4,la asomada,murcia,4,,conde de lemos nÃ¢nd,,conde de lemos nÃ¢nd,Region de Murcia,"calle conde de lemos nÃ¢nd, 4, Region de Murcia, España","Calle Conde de Lemos, La Aparecida, Región de Murcia, España",Calle,Conde de Lemos,4,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6681095,-0.9565581,
871,calle,"united golf resortalcacil,  56 , bajo a 53",gea y truyols,murcia,56,", bajo a 53",united golf resortalcacil,,united golf resortalcacil,Region de Murcia,"calle united golf resortalcacil, 56, Region de Murcia, España","United Golf Resort, Región de Murcia, España",,,56,,Murcia,Región de Murcia,Spain,30590,,37.8610191,-1.0048687,", bajo a 53"
872,calle,reposo 7,los (la puebla) lopez,murcia,7,,reposo,,reposo,Region de Murcia,"calle reposo, 7, Region de Murcia, España","Calle el Reposo, 7, La Puebla, Región de Murcia, España",Calle,el Reposo,7,La Puebla,Murcia,Región de Murcia,Spain,30395,,37.7190072,-0.9211338,
873,calle,peral  20,la palma,murcia,20,,peral,,peral,Region de Murcia,"calle peral, 20, Region de Murcia, España","Calle Peral, 20, Cartagena, Región de Murcia, España",Calle,Peral,20,Cartagena,Murcia,Región de Murcia,Spain,30205,,37.6030687,-0.9981361999999999,
874,calle,andres invernon  3,la palma,murcia,3,,andres invernon,,andres invernon,Region de Murcia,"calle andres invernon, 3, Region de Murcia, España","Calle, 3, Calar de la Santa, Región de Murcia, España",,Calle,3,Calar de la Santa,Murcia,Región de Murcia,Spain,30441,,38.1790232,-2.1722293,
875,calle,"loma atlas,  80",canteras (canteras),murcia,80,,loma atlas,,loma atlas,Region de Murcia,"calle loma atlas, 80, Region de Murcia, España","Calle Loma Atlas, 80, Cartagena, Región de Murcia, España",Calle,Loma Atlas,80,Cartagena,Murcia,Región de Murcia,Spain,30394,,37.6174018,-1.0329995,
876,calle,"loma atlas,  80",canteras (canteras),murcia,80,,loma atlas,,loma atlas,Region de Murcia,"calle loma atlas, 80, Region de Murcia, España","Calle Loma Atlas, 80, Cartagena, Región de Murcia, España",Calle,Loma Atlas,80,Cartagena,Murcia,Región de Murcia,Spain,30394,,37.6174018,-1.0329995,
877,,"castillo de mar  2 , puerta  2 s , km 5",la manga del mar menor,murcia,2,", puerta  2 s , km 5",castillo de mar,,castillo de mar,Region de Murcia," castillo de mar, 2, Region de Murcia, España","Camino Casa Castillo, 2, La Hoya, Región de Murcia, España",,Camino Casa Castillo,2,La Hoya,Murcia,Región de Murcia,Spain,30816,,37.7028494,-1.6052215,", puerta  2 s , km 5"
878,calle,costamanga  143 decha,la manga del mar menor,toledo,143,decha,costamanga    decha,,costamanga,toledo,"calle costamanga, 143, toledo, España","Calle de Alcalá, 143, Madrid, España",Calle,de Alcalá,143,Madrid,Madrid,Comunidad de Madrid,Spain,28009,,40.42417,-3.677556,decha
879,calle,pintor miguel angel  5   alto izq (los alcazares),san javier,murcia,5,alto izq (los alcazares),pintor miguel angel      alto izq (los alcazares),,pintor miguel angel,Region de Murcia,"calle pintor miguel angel, 5, Region de Murcia, España","Calle Pintor Miguel Ángel, 5, Los Alcázares, Región de Murcia, España",Calle,Pintor Miguel Ángel,5,Los Alcázares,Murcia,Región de Murcia,Spain,30710,,37.7549168,-0.831093,alto izq (los alcazares)
880,,isla cunillera 58 mares  3 bajo b 3,mar de cristal,murcia,58,mares 3 bajo b 3,isla cunillera   mares    bajo b,,isla cunillera,Region de Murcia," isla cunillera, 58, Region de Murcia, España","Calle Isla Cunillera, 58, Islas Menores, Región de Murcia, España",Calle,Isla Cunillera,58,Islas Menores,Murcia,Región de Murcia,Spain,30384,,37.6387,-0.7680699999999999,mares 3 bajo b 3
881,,carretera molinos marfagones  22  bcartagena,los (califa) angeles,murcia,22,bcartagena,carretera molinos marfagones     bcartagena,,carretera molinos marfagones,Region de Murcia," carretera molinos marfagones, 22, Region de Murcia, España","Molinos Marfagones, Cartagena, Región de Murcia, España",,,22,Cartagena,Murcia,Región de Murcia,Spain,,,37.63007899999999,-1.0430534,bcartagena
882,calle,"turquesa,  25   3 nd drcha.",urbanizacion mediterraneo,murcia,25,3drcha.,turquesa,3 nd,turquesa,Region de Murcia,"calle turquesa, 25, Region de Murcia, España","Calle Turquesa, 25, Cartagena, Región de Murcia, España",Calle,Turquesa,25,Cartagena,Murcia,Región de Murcia,Spain,30310,,37.62104,-1.00142,3drcha.
883,calle,"madreperla,  38  bajo",urbanizacion mediterraneo,murcia,38,bajo,madreperla,,madreperla,Region de Murcia,"calle madreperla, 38, Region de Murcia, España","Calle Madreperla, 38, Cartagena, Región de Murcia, España",Calle,Madreperla,38,Cartagena,Murcia,Región de Murcia,Spain,30310,,37.62210839999999,-1.0020876,bajo
884,calle,"pedro,  32  bajo",san anton,murcia,32,bajo,pedro,,pedro,Region de Murcia,"calle pedro, 32, Region de Murcia, España","Calle Pedro Nogueroles Roche, 32, Alcantarilla, Región de Murcia, España",Calle,Pedro Nogueroles Roche,32,Alcantarilla,Murcia,Región de Murcia,Spain,30820,,37.9637384,-1.2218392,bajo
885,,"alfonso xiii,  02   1 nd",los (murcia) dolores,murcia,2,1,alfonso xiii,1 nd,alfonso xiii,Region de Murcia," alfonso xiii, 2, Region de Murcia, España","Paseo Alfonso XIII, 2, Cartagena, Región de Murcia, España",,Paseo Alfonso XIII,2,Cartagena,Murcia,Región de Murcia,Spain,30203,,37.607684,-0.9752261000000001,1
886,calle,luis de gongora  38,miranda,murcia,38,,luis de gongora,,luis de gongora,Region de Murcia,"calle luis de gongora, 38, Region de Murcia, España","Calle Luis de Góngora, 38, Bullas, Región de Murcia, España",Calle,Luis de Góngora,38,Bullas,Murcia,Región de Murcia,Spain,30180,,38.04614,-1.6659348,
887,calle,"luis de gongora,  34  bajo",miranda,murcia,34,bajo,luis de gongora,,luis de gongora,Region de Murcia,"calle luis de gongora, 34, Region de Murcia, España","Calle Luis de Góngora, 34, Bullas, Región de Murcia, España",Calle,Luis de Góngora,34,Bullas,Murcia,Región de Murcia,Spain,30180,,38.0461561,-1.6662574,bajo
888,,"paseo siena,  08   2 nd b",la gila,murcia,8,2b,paseo siena,2 nd,paseo siena,Region de Murcia," paseo siena, 8, Region de Murcia, España","Paseo Siena, 8, Cartagena, Región de Murcia, España",,Paseo Siena,8,Cartagena,Murcia,Región de Murcia,Spain,30319,,37.6529751,-1.0131222,2b
890,,"aldeas de taray club, apartamento  109",la manga del mar menor,murcia,109,,aldeas de taray club,,aldeas de taray club,Region de Murcia," aldeas de taray club, 109, Region de Murcia, España","Urb. Aldeas de Taray Club, 109, San Javier, Región de Murcia, España",,,109,,Murcia,Region of Murcia,Spain,,Urb. Aldeas de Taray Club,37.7722981,-0.7449783,109 
891,,"edif.hawai  2 , esc. 2 ,  5 ndb",la manga del mar menor,murcia,2,", esc. 2 ,  5 ndb",edif.hawai,5 nd,edif.hawai,Region de Murcia," edif.hawai, 2, Region de Murcia, España","Calle Region de Murcia, 2, Jaén, España",Calle,Region de Murcia,2,Jaén,Jaén,Andalucía,Spain,23008,,37.7808812,-3.7921662,", esc. 2 ,  5 ndb"
892,,urbanizacion bungalowarona  1145,mar de cristal,murcia,11,,urbanizacion bungalowarona,,urbanizacion bungalowarona,Region de Murcia," urbanizacion bungalowarona, 11, Region de Murcia, España","Calle Region de Murcia, 11, Jaén, España",Calle,Region de Murcia,11,Jaén,Jaén,Andalucía,Spain,23008,,37.7819449,-3.7917236,
893,,comunidadaldeas de taray club 122,la manga del mar menor,murcia,122,,comunidadaldeas de taray club,,comunidadaldeas de taray club,Region de Murcia," comunidadaldeas de taray club, 122, Region de Murcia, España","Aldeas D´Taray, Spain",,,122,,Murcia,Region of Murcia,Spain,,Aldeas D´Taray,37.7722981,-0.7449783,122 
894,,"costa manga  1 , bungalow  1",la manga del mar menor,murcia,1,", bungalow  1",costa manga,,costa manga,Region de Murcia," costa manga, 1, Region de Murcia, España","Costa Manga 1, Calle de la Manga, Cartagena, Región de Murcia, España",Calle,de la Manga,1,Cartagena,Murcia,Región de Murcia,Spain,30380,,37.6588324,-0.7217635,", bungalow  1"
895,calle,angel ferrant 39,la palma,murcia,39,,angel ferrant,,angel ferrant,Region de Murcia,"calle angel ferrant, 39, Region de Murcia, España","Calle Ángel Ferrant, 39, La Palma, Región de Murcia, España",Calle,Ángel Ferrant,39,La Palma,Murcia,Región de Murcia,Spain,30593,,37.6859166,-0.9613809,
896,,sierra de los villares  93,gea y truyols,murcia,93,,sierra de los villares,,sierra de los villares,Region de Murcia," sierra de los villares, 93, Region de Murcia, España","Calle Sierra de los Villares, 93, San Pedro del Pinatar, Región de Murcia, España",Calle,Sierra de los Villares,93,San Pedro del Pinatar,Murcia,Región de Murcia,Spain,30740,,37.8290613,-0.7897902,
897,calle,torno 21,la aparecida,murcia,21,,torno,,torno,Region de Murcia,"calle torno, 21, Region de Murcia, España","Calle el Torno, 21, Cartagena, Región de Murcia, España",Calle,el Torno,21,Cartagena,Murcia,Región de Murcia,Spain,30395,,37.66684,-0.9574899999999998,
898,,"urbanizacion lo santiago,  71",gea y truyols,murcia,71,,urbanizacion lo santiago,,urbanizacion lo santiago,Region de Murcia," urbanizacion lo santiago, 71, Region de Murcia, España","Urbanización Lo Santiago, Gea y Truyols, Región de Murcia, España",,,71,Gea y Truyols,Murcia,Región de Murcia,Spain,30590,Urbanización Lo Santiago,37.848332,-1.0384319,71 
899,,lugar fuente amarga  9,la palma,murcia,9,,lugar fuente amarga,,lugar fuente amarga,Region de Murcia," lugar fuente amarga, 9, Region de Murcia, España","Lugar Fuente Amarga, 9, Fuente Amarga, Región de Murcia, España",,,9,Fuente Amarga,Murcia,Región de Murcia,Spain,30593,,37.702211,-0.9460852000000001,
900,,punta cormoran 33511,la manga del mar menor,murcia,33,,punta cormoran,,punta cormoran,Region de Murcia," punta cormoran, 33, Region de Murcia, España","Calle Region de Murcia, 33, Jaén, España",Calle,Region de Murcia,33,Jaén,Jaén,Andalucía,Spain,23008,,37.7819449,-3.7917236,
901,calle,chinchorro 6 a,los alcazares,murcia,6,a,chinchorro   a,,chinchorro,Region de Murcia,"calle chinchorro, 6, Region de Murcia, España","Calle Chinchorro, 6, San Javier, Región de Murcia, España",Calle,Chinchorro,6,San Javier,Murcia,Región de Murcia,Spain,30720,,37.801361,-0.8175158,a
902,calle,francisco hernandez 27,la puebla,murcia,27,,francisco hernandez,,francisco hernandez,Region de Murcia,"calle francisco hernandez, 27, Region de Murcia, España","Calle Francisco Hernández, 27, La Puebla, Región de Murcia, España",Calle,Francisco Hernández,27,La Puebla,Murcia,Región de Murcia,Spain,30395,,37.7186265,-0.9220583999999998,
903,calle,escultor sanchez lozano 11,el albujon,murcia,11,,escultor sanchez lozano,,escultor sanchez lozano,Region de Murcia,"calle escultor sanchez lozano, 11, Region de Murcia, España","Calle Escultor José Sánchez Lozano, 11, Murcia, Región de Murcia, España",Calle,Escultor José Sánchez Lozano,11,Murcia,Murcia,Región de Murcia,Spain,30005,,37.9874884,-1.1411574,
904,calle,"aldeas de taray,  203",la manga del mar menor,murcia,203,,aldeas de taray,,aldeas de taray,Region de Murcia,"calle aldeas de taray, 203, Region de Murcia, España","Aldeas de Taray, Gran Vía de la Manga, La Manga, Región de Murcia, España",,Gran Vía de la Manga,km. 17,San Javier,Murcia,Región de Murcia,Spain,30380,Aldeas de Taray,37.7721493,-0.7457155,203 
905,calle,lozoya 22,miranda,murcia,22,,lozoya,,lozoya,Region de Murcia,"calle lozoya, 22, Region de Murcia, España","Calle Lozoya, 22, Miranda, Región de Murcia, España",Calle,Lozoya,22,Miranda,Murcia,Región de Murcia,Spain,30319,,37.68265,-1.02491,
906,calle,"francisco de rioja, nnd  1616",miranda,murcia,16,,francisco de rioja,,francisco de rioja,Region de Murcia,"calle francisco de rioja, 16, Region de Murcia, España","Calle Francisco de Rioja, 16, Cartagena, Región de Murcia, España",Calle,Francisco de Rioja,16,Cartagena,Murcia,Región de Murcia,Spain,30319,,37.6780388,-1.0226211,
907,avenida,"marfagones,  63 , piso  1",canteras (canteras),murcia,63,", piso  1",marfagones,,marfagones,Region de Murcia,"avenida marfagones, 63, Region de Murcia, España","Avenida Marfagones, 63, Canteras, Región de Murcia, España",Avenida,Marfagones,63,Canteras,Murcia,Región de Murcia,Spain,30394,,37.6152777,-1.0405709,", piso  1"
908,,"paraje el casis,  24",pozo estrecho,murcia,24,,paraje el casis,,paraje el casis,Region de Murcia," paraje el casis, 24, Region de Murcia, España","Calle el Paraje, 24, Alguazas, Región de Murcia, España",Calle,el Paraje,24,Alguazas,Murcia,Región de Murcia,Spain,30560,,38.0468522,-1.2199192,
909,calle,"loma atlas  49 , canteras cartagena",canteras (canteras),murcia,49,", canteras cartagena",loma atlas,,loma atlas,Region de Murcia,"calle loma atlas, 49, Region de Murcia, España","Calle Loma Atlas, 49, Cartagena, Región de Murcia, España",Calle,Loma Atlas,49,Cartagena,Murcia,Región de Murcia,Spain,30394,,37.6179751,-1.0321817,", canteras cartagena"
910,calle,"francisco hernandez,  35",la puebla,murcia,35,,francisco hernandez,,francisco hernandez,Region de Murcia,"calle francisco hernandez, 35, Region de Murcia, España","Calle Francisco Hernández, 35, La Puebla, Región de Murcia, España",Calle,Francisco Hernández,35,La Puebla,Murcia,Región de Murcia,Spain,30395,,37.7186473,-0.9221421,
911,calle,"conde de lemos,  19",la aparecida,murcia,19,,conde de lemos,,conde de lemos,Region de Murcia,"calle conde de lemos, 19, Region de Murcia, España","Calle Conde de Lemos, 19, La Aparecida, Región de Murcia, España",Calle,Conde de Lemos,19,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6678912,-0.9555219,
912,,botalon 13,la aparecida,murcia,13,,botalon,,botalon,Region de Murcia," botalon, 13, Region de Murcia, España","Calle Botalón, 13, La Aparecida, Región de Murcia, España",Calle,Botalón,13,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6690997,-0.9538698999999998,
913,,plaza reyes catolicos 14,vista alegre,murcia,14,,plaza reyes catolicos,,plaza reyes catolicos,Region de Murcia," plaza reyes catolicos, 14, Region de Murcia, España","Plaza de los Reyes Católicos, 14, Cartagena, Región de Murcia, España",,Plaza de los Reyes Católicos,14,Cartagena,Murcia,Región de Murcia,Spain,30399,,37.6078127,-0.9433058,
914,calle,"la maza,  2",la aparecida,murcia,2,,la maza,,la maza,Region de Murcia,"calle la maza, 2, Region de Murcia, España","Calle la Maza, 2, La Aparecida, Región de Murcia, España",Calle,la Maza,2,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.66913,-0.9561917999999999,
915,calle,"sierra de la iguana,  26",el albujon,murcia,26,,sierra de la iguana,,sierra de la iguana,Region de Murcia,"calle sierra de la iguana, 26, Region de Murcia, España","Calle Sierra de la Iguana, 26, El Albujón, Región de Murcia, España",Calle,Sierra de la Iguana,26,El Albujón,Murcia,Región de Murcia,Spain,30330,,37.7146975,-1.0484108,
916,calle,los reyes ( zona los carriones),la aparecida,murcia,,,los reyes ( zona los carriones),,los reyes,Region de Murcia,"calle los reyes, , Region de Murcia, España","Calle los Reyes, La Aparecida, Región de Murcia, España",Calle,los Reyes,,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6676163,-0.9561378,
917,calle,los reyes ( zona los carriones),la aparecida,murcia,,,los reyes ( zona los carriones),,los reyes,Region de Murcia,"calle los reyes, , Region de Murcia, España","Calle los Reyes, La Aparecida, Región de Murcia, España",Calle,los Reyes,,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6676163,-0.9561378,
918,calle,riostras  15,la aparecida,murcia,15,,riostras,,riostras,Region de Murcia,"calle riostras, 15, Region de Murcia, España","Calle Riostras, 15, La Aparecida, Región de Murcia, España",Calle,Riostras,15,La Aparecida,Murcia,Región de Murcia,Spain,30395,,37.6664472,-0.9534950999999999,
919,,planchadora 10,la puebla,murcia,10,,planchadora,,planchadora,Region de Murcia," planchadora, 10, Region de Murcia, España","Calle de la Planchadora, 10, Cartagena, Región de Murcia, España",Calle,de la Planchadora,10,Cartagena,Murcia,Región de Murcia,Spain,30395,,37.715337,-0.9169387000000001,
920,calle,remolinos 5,los camachos,murcia,5,,remolinos,,remolinos,Region de Murcia,"calle remolinos, 5, Region de Murcia, España","Calle Region de Murcia, 5, Jaén, España",Calle,Region de Murcia,5,Jaén,Jaén,Andalucía,Spain,23008,,37.7811414,-3.792197599999999,
921,,pedrarias davila 1,pozo estrecho,murcia,1,,pedrarias davila,,pedrarias davila,Region de Murcia," pedrarias davila, 1, Region de Murcia, España","Calle Pedrarias Dávila, 1, Pozo Estrecho, Región de Murcia, España",Calle,Diego Almagro,1,Pozo Estrecho,Murcia,Región de Murcia,Spain,30594,,37.7135261,-0.9938332999999999,
